key,value
window_title,lufus
log_window_title,lufus লগ
about_window_title,সম্পর্কে
settings_window_title,সেটিংস
btn_copy_log,ক্লিপবোর্ডে কপি করুন
btn_save_log,লগ সংরক্ষণ করুন...
dlg_save_log_title,লগ সংরক্ষণ
save_failed_title,সংরক্ষণ ব্যর্থ
save_failed_body,লগ সংরক্ষণ করা যায়নি:
settings_label_language,ভাষা
settings_no_languages,কোনো ভাষা পাওয়া যায়নি
header_drive_properties,ড্রাইভ বৈশিষ্ট্য
header_format_options,ফরম্যাট অপশন
header_status,স্ট্যাটাস
lbl_device,ডিভাইস
lbl_boot_selection,বুট নির্বাচন
lbl_image_option,ইমেজ অপশন
lbl_partition_scheme,পার্টিশন স্কিম
lbl_target_system,টার্গেট সিস্টেম
lbl_volume_label,ভলিউম লেবেল
lbl_file_system,ফাইল সিস্টেম
lbl_flash_option,ফ্ল্যাশ অপশন
lbl_cluster_size,ক্লাস্টার সাইজ
combo_image_windows,স্ট্যান্ডার্ড উইন্ডোজ ইনস্টলেশন
combo_image_linux,স্ট্যান্ডার্ড লিনাক্স ইনস্টলেশন
combo_image_other,যেকোনো ইনস্টল (DD মোড)
combo_image_format,শুধু ফরম্যাটিং মোড
combo_partition_gpt,GPT
combo_partition_mbr,MBR
combo_target_uefi,UEFI (নন CSM)
combo_target_bios,BIOS (বা UEFI-CSM)
combo_cluster_4096,4096 বাইট (ডিফল্ট)
combo_cluster_8192,8192 বাইট
combo_badblocks_1pass,১ বার
chk_quick_format,দ্রুত ফরম্যাট
chk_extended_label,এক্সটেন্ডেড লেবেল তৈরি করুন
chk_bad_blocks,ব্যাড ব্লক পরীক্ষা করুন
chk_verify_hash,SHA256 চেকসম যাচাই করুন
lbl_expected_hash,প্রত্যাশিত SHA256:
progress_verifying,চেকসম যাচাই করা হচ্ছে...
msgbox_verify_fail_title,যাচাই ব্যর্থ
msgbox_verify_fail_body,SHA256 চেকসম মিলেনি! ফাইলটি ক্ষতিগ্রস্ত হতে পারে।
msgbox_invalid_hash_title,অবৈধ হ্যাশ
msgbox_invalid_hash_body,প্রদত্ত SHA256 হ্যাশটি অবৈধ।
combo_flash_iso,ISO মোড
combo_flash_woe,WOE USB
combo_flash_ventoy,Ventoy
combo_flash_dd,DD
combo_flash_none,কোনোটি নয়
btn_select,নির্বাচন করুন
btn_start,শুরু করুন
btn_cancel,বাতিল
tooltip_refresh,USB ডিভাইস রিফ্রেশ করুন (Ctrl+R)
tooltip_download,আপডেট ডাউনলোড করুন
tooltip_about,সম্পর্কে
tooltip_settings,সেটিংস
tooltip_log,লগ
status_ready,প্রস্তুত
status_scanning,USB ডিভাইস খোঁজা হচ্ছে...
status_scan_failed,স্ক্যান ব্যর্থ
status_flashing,ফ্ল্যাশ করা হচ্ছে...
progress_preparing,প্রস্তুত করা হচ্ছে...
progress_complete,সম্পন্ন! ১০০%
progress_failed,ব্যর্থ
progress_starting,শুরু হচ্ছে.. ১০%
progress_unmounted,ড্রাইভ আনমাউন্ট করা হয়েছে.. ২০%
progress_formatted,ড্রাইভ ফরম্যাট করা হয়েছে.. ৬০%
progress_label_changed,লেবেল পরিবর্তন করা হয়েছে.. ৮০%
progress_mount_done,মাউন্ট সম্পন্ন.. সম্পূর্ণ! ১০০%
msgbox_cancel_title,বাতিল
msgbox_cancel_body,আপনি কি নিশ্চিত বাতিল করতে চান?
msgbox_success_title,সফল
msgbox_success_body,USB ড্রাইভ সফলভাবে ফ্ল্যাশ করা হয়েছে!
msgbox_error_title,ত্রুটি
msgbox_error_body,USB ড্রাইভ ফ্ল্যাশ করতে ব্যর্থ।
msgbox_no_image_title,কোনো ইমেজ নেই
msgbox_no_image_body,অনুগ্রহ করে আগে একটি বৈধ ইনস্টলেশন ফাইল নির্বাচন করুন।
msgbox_no_device_title,কোনো ডিভাইস নেই
msgbox_no_device_body,অনুগ্রহ করে আগে একটি USB ডিভাইস নির্বাচন করুন।
msgbox_usb_found_title,নতুন USB ডিভাইস পাওয়া গেছে
msgbox_usb_found_body,USB ডিভাইস পাওয়া গেছে
msgbox_no_devices_title,কোনো ডিভাইস নেই
msgbox_no_devices_body,"কোনো USB ড্রাইভ পাওয়া যায়নি।
অনুগ্রহ করে একটি ড্রাইভ সংযুক্ত করে আবার চেষ্টা করুন।"
msgbox_scan_error_title,স্ক্যান ত্রুটি
msgbox_scan_error_body,USB ডিভাইস স্ক্যান করতে ব্যর্থ:
no_usb_found,কোনো USB ডিভাইস পাওয়া যায়নি
dlg_select_image_title,ডিস্ক ইমেজ নির্বাচন করুন
dlg_select_image_filter,"ডিস্ক ইমেজ (*.iso *.dmg *.img *.bin *.raw);;সব ফাইল (*)"
about_content,"লুফাস একটি ডিস্ক ইমেজ লেখার টুল যা লিনাক্সের জন্য Python দিয়ে তৈরি।
উইন্ডোজের মূল Rufus টুল থেকে অনুপ্রাণিত।
ভার্সন: v1.0.0b1
GitHub: github.com/hog185/lufus"
about_subtitle,USB ফ্ল্যাশ টুল
btn_close,বন্ধ
btn_ok,OK
combo_boot_default,installation_media.iso
tooltip_website,ওয়েবসাইট
settings_label_theme,থিম
input_hash_placeholder,প্রত্যাশিত SHA256 হ্যাশ এখানে লিখুন...
combo_badblocks_2pass,২ বার
combo_badblocks_3pass,৩ বার
status_unmounting_all,{device}-এ সব পার্টিশন আনমাউন্ট করা হচ্ছে...
status_unmounting,{part} আনমাউন্ট করা হচ্ছে...
status_format_starting,ফরম্যাট অপারেশন শুরু হচ্ছে...
status_format_in_progress,ড্রাইভ ফরম্যাট করা হচ্ছে...
status_format_complete,ফরম্যাট সম্পন্ন!
status_format_failed,ফরম্যাট ব্যর্থ। সঠিক ত্রুটির জন্য উপরের লগ দেখুন।
status_flash_error,ফ্ল্যাশ ত্রুটি: {error}
acc_device,ডিভাইস সিলেক্টর
acc_device_desc,আপনি যে USB ডিভাইসটি ব্যবহার করতে চান তা নির্বাচন করুন
acc_refresh,ডিভাইস রিফ্রেশ করুন
acc_refresh_desc,সংযুক্ত USB ডিভাইস স্ক্যান করুন
acc_boot,বুট ইমেজ সিলেক্টর
acc_boot_desc,বর্তমানে নির্বাচিত ইমেজ ফাইল দেখায়
acc_select,ইমেজ ফাইলের জন্য ব্রাউজ করুন
acc_image_option,ইমেজ অপশন সিলেক্টর
acc_image_option_desc,লেখার জন্য ইমেজের ধরন নির্বাচন করুন: উইন্ডোজ, লিনাক্স, অন্যান্য, বা শুধু ফরম্যাট
acc_volume_label,ভলিউম লেবেল ইনপুট
acc_volume_label_desc,USB ভলিউমের জন্য একটি নাম লিখুন
acc_filesystem,ফাইল সিস্টেম সিলেক্টর
acc_cluster,ক্লাস্টার সাইজ সিলেক্টর
acc_flash_option,ফ্ল্যাশ পদ্ধতি সিলেক্টর
acc_quick_format,দ্রুত ফরম্যাট চেকবক্স
acc_extended_label,এক্সটেন্ডেড লেবেল তৈরির চেকবক্স
acc_bad_blocks,ব্যাড ব্লক পরীক্ষার চেকবক্স
acc_bad_blocks_passes,ব্যাড ব্লক চেক পাস সিলেক্টর
acc_verify_hash,SHA256 চেকসম যাচাইয়ের চেকবক্স
acc_hash_input,প্রত্যাশিত SHA256 হ্যাশ ইনপুট
acc_hash_input_desc,এখানে প্রত্যাশিত ৬৪-অক্ষরের SHA256 হ্যাশ পেস্ট করুন
acc_progress,অপারেশন প্রগ্রেস বার
acc_start,অপারেশন শুরু করুন
acc_cancel,অপারেশন বাতিল করুন
acc_website,Lufus ওয়েবসাইট খুলুন
acc_about,Lufus সম্পর্কে
acc_settings,সেটিংস খুলুন
acc_log,লগ উইন্ডো খুলুন
